,file_name,size,time,peak_spped,valley_speed,mean_speed,peak_area_before,peak_std_area_before,peak_fre_before,peak_area_after,peak_std_area_after,peak_fre_after,valley_area_before,valley_std_area_before,valley_fre_before,valley_area_after,valley_std_area_after,valley_fre_after
39,left_1rb_10.hkl,0.78,41.06,54.34,50.79,52.565,56.8,9.76,133371.07757595865,96.85,14.24,809.878642849447,3.89,14.24,115805.78541639246,4.52,14.24,707.6260404559805
40,left_1rb_11.hkl,0.83,40.56,67.44,66.92,67.18,18.06,2.36,109490.07585604874,93.15,8.71,162.35204454977622,3.83,8.71,113949.04500204686,13.74,8.71,606.0279426160328
41,left_1rb_12.hkl,0.8,40.13,66.57,64.09,65.33,36.11,6.23,268333.12787810905,107.44,8.81,319.1258850718593,5.49,8.81,273290.8396476871,11.29,8.81,744.9892767390136
42,left_1rb_13.hkl,0.69,36.0,62.46,62.74,62.6,53.83,7.29,157662.20919353593,112.27,6.41,388.8718274790146,8.21,6.41,170755.50712414223,12.2,6.41,581.1388151415293
43,left_1rb_14.hkl,0.79,39.24,63.65,63.56,63.605000000000004,16.6,1.72,48638.524334638285,96.77,6.85,300.23366882428115,3.1,6.85,44295.84587302288,12.7,6.85,634.4665667576954
44,left_1rb_15.hkl,0.7,36.8,59.9,59.84,59.870000000000005,59.33,7.46,106561.29253168196,112.73,11.66,901.2195202677738,9.02,11.66,126957.62452978782,12.21,11.66,742.3224351710954
45,left_1rb_16.hkl,0.75,38.09,56.38,56.22,56.3,21.32,3.02,51989.068237021245,97.64,8.67,304.1484463463333,3.12,8.67,53150.12529032267,10.2,8.67,634.6548625293655
46,left_1rb_17.hkl,0.78,40.16,54.17,52.33,53.25,49.35,5.79,64869.80671518383,107.57,8.24,389.3491302092097,6.94,8.24,72032.46903876195,10.88,8.24,510.2719856543197
47,left_1rb_18.hkl,0.73,38.02,57.76,57.69,57.724999999999994,10.04,1.1,91724.18413680447,88.92,7.08,273.3410740195522,1.17,7.08,94000.60288124639,7.07,7.08,804.3199459821318
48,left_1rb_19.hkl,0.7,34.36,55.59,56.22,55.905,74.7,5.26,178450.84360489313,125.2,5.64,926.572657771505,9.83,5.64,195707.30064702788,13.02,5.64,597.1343507989278
49,left_1rb_20.hkl,0.73,37.7,58.2,57.97,58.085,27.95,1.96,52067.7194878766,111.68,7.54,903.8183909402751,3.55,7.54,55462.7319591274,10.79,7.54,851.8343615182564
50,left_2rb_01.hkl,0.71,36.78,54.68,49.46,52.07,43.83,7.29,77132.84045422016,72.06,9.71,716.6602543929309,10.5,9.71,57126.06827202786,11.4,9.71,572.042614387754
51,left_2rb_02.hkl,0.7,34.96,57.85,56.88,57.365,40.85,6.91,110733.36352742325,66.21,10.4,1126.9031553414768,9.01,10.4,92712.1877380909,9.57,10.4,598.6305400603881
52,left_2rb_03.hkl,0.89,45.65,51.65,49.52,50.585,46.1,5.92,229365.21649991447,74.44,9.02,1182.9085553784241,10.63,9.02,185494.5374955382,11.08,9.02,972.8846483357316
53,left_2rb_04.hkl,0.74,36.69,51.07,52.14,51.605000000000004,45.65,6.31,95136.97628715979,67.49,8.88,796.4694316606754,11.22,8.88,76592.67298720911,11.22,8.88,706.4088125198564
54,left_2rb_05.hkl,0.67,34.78,54.82,48.0,51.41,44.32,7.59,68294.12978743443,69.44,8.93,571.5963194893527,11.37,8.93,56886.97105419001,11.99,8.93,555.3320235545074
